order,occurence,word,
597,17,again,
598,17,blocks,
599,17,brick,
600,17,children,
601,17,clear,
602,17,content,
603,17,creativity,
604,17,details,
605,17,effect,
606,17,entire,
607,17,et,
608,17,feeling,
609,17,friends,
610,17,general,
611,17,getting,
612,17,given,
613,17,group,
614,17,growing,
615,17,hope,
616,17,imagine,
617,17,later,
618,17,lighting,
619,17,mass,
620,17,mean,
621,17,morocco,
622,17,piece,
623,17,popular,
624,17,profession,
625,17,reason,
626,17,renaissance,
627,17,roof,
628,17,second,
629,17,seem,
630,17,several,
631,17,society,
632,17,specific,
633,17,st,
634,17,theory,
635,17,times,
636,17,toward,
637,17,victorian,
638,17,yourself,
639,16,achieve,
640,16,anything,
641,16,array,
642,16,bamboo,
643,16,becoming,
644,16,brought,
645,16,canal,
646,16,church,
647,16,critic,
648,16,definitely,
649,16,didn,
650,16,east,
651,16,engineering,
652,16,function,
653,16,further,
654,16,growth,
655,16,include,
656,16,industry,
657,16,innovation,
658,16,landscape,
659,16,matter,
660,16,offer,
661,16,others,
662,16,principles,
663,16,provide,
664,16,pure,
665,16,relationship,
666,16,significant,
667,16,software,
668,16,study,
669,16,stuff,
670,16,successful,
671,16,talented,
672,16,therefore,
673,16,worth,
674,15,ability,
675,15,age,
676,15,ago,
677,15,apps,
678,15,award,
679,15,collection,
680,15,coming,
681,15,component,
682,15,concerned,
683,15,current,
684,15,diagram,
685,15,due,
686,15,former,
687,15,functional,
688,15,generally,
689,15,giving,
690,15,gone,
691,15,housing,
692,15,impressive,
693,15,larger,
694,15,learning,
695,15,least,
696,15,lines,
697,15,lost,
698,15,maybe,
699,15,media,
700,15,mixed,
701,15,name,
702,15,organic,
703,15,photo,
704,15,photograph,
705,15,plaza,
706,15,practical,
707,15,produced,
708,15,progress,
709,15,retail,
710,15,seeing,
711,15,slightly,
712,15,surface,
713,15,tanzania,
714,15,turned,
715,15,ultimately,
716,15,until,
717,15,whether,
718,15,wikipedia,
719,15,и,
720,14,along,
721,14,android,
722,14,arch,
723,14,artistic,
724,14,awareness,
725,14,began,
726,14,central,
727,14,changing,
728,14,clean,
729,14,close,
730,14,columbus,
731,14,creating,
732,14,develop,
733,14,developers,
734,14,direct,
735,14,doesn,
736,14,education,
737,14,estate,
738,14,etc,
739,14,everyone,
740,14,exist,
741,14,following,
742,14,four,
743,14,gallery,
744,14,ground,
745,14,hall,
746,14,himself,
747,14,horrorshow,
748,14,immutable,
749,14,included,
750,14,japanese,
751,14,job,
752,14,kinds,
753,14,line,
754,14,logical,
755,14,longer,
756,14,memory,
757,14,money,
758,14,necessary,
759,14,particular,
760,14,partner,
761,14,photographer,
762,14,picture,
763,14,play,
764,14,program,
765,14,reference,
766,14,romantic,
767,14,schools,
768,14,seemed,
769,14,short,
770,14,size,
771,14,structural,
772,14,suggest,
773,14,technical,
774,14,tell,
775,14,throughout,
776,14,towards,
777,14,try,
778,14,tubman,
779,14,twitter,
780,14,understanding,
781,14,users,
782,14,vr,
783,14,website,
784,14,word,
785,14,x,
786,14,young,
787,13,academic,
788,13,access,
789,13,act,
790,13,attention,
791,13,base,
792,13,beginning,
793,13,box,
794,13,challenge,
795,13,character,
796,13,check,
797,13,colors,
798,13,completely,
799,13,continue,
800,13,cost,
801,13,decided,
802,13,efforts,
803,13,est,
804,13,finally,
805,13,forward,
806,13,heritage,
807,13,il,
808,13,impossible,
809,13,intellectual,
810,13,lack,
811,13,late,
812,13,libraries,
813,13,local,
814,13,massive,
815,13,meaningful,
816,13,mobile,
817,13,near,
818,13,ones,
819,13,opportunities,
820,13,org,
821,13,particularly,
822,13,patterns,
823,13,personality,
824,13,perspective,
825,13,pretty,
826,13,purpose,
827,13,push,
828,13,replaced,
829,13,return,
830,13,revolution,
831,13,roman,
832,13,saw,
833,13,says,
834,13,served,
835,13,shape,
836,13,sometimes,
837,13,soon,
838,13,spent,
839,13,spotlight,
840,13,teaching,
841,13,took,
842,13,whose,
843,13,wide,
844,13,won,
845,13,worlds,
846,13,wright,
847,12,african,
848,12,allow,
849,12,allows,
850,12,although,
851,12,among,
852,12,born,
853,12,camps,
854,12,cast,
855,12,cat,
856,12,civic,
857,12,claude,
858,12,completed,
859,12,consider,
860,12,creation,
861,12,days,
862,12,death,
863,12,deep,
864,12,demand,
865,12,directly,
866,12,directory,
867,12,effort,
868,12,esri,
869,12,exhibition,
870,12,fast,
871,12,fine,
872,12,foundation,
873,12,founder,
874,12,free,
875,12,ghana,
876,12,goes,
877,12,government,
878,12,hadid,
879,12,indeed,
880,12,influence,
881,12,information,
882,12,init,
883,12,inside,
884,12,interested,
885,12,interface,
886,12,intuitive,
887,12,isn,
888,12,learned,
889,12,location,
890,12,lots,
891,12,louis,
892,12,methods,
893,12,mid,
894,12,monument,
895,12,nigeria,
896,12,north,
897,12,opportunity,
898,12,panels,
899,12,pas,
900,12,passion,
901,12,pavilion,
902,12,performance,
903,12,pieces,
904,12,pour,
905,12,pre,
906,12,properties,
907,12,property,
908,12,responsible,
909,12,run,
910,12,san,
911,12,scripts,
912,12,shadow,
913,12,she,
914,12,shows,
915,12,solution,
916,12,spiritual,
917,12,step,
918,12,stone,
919,12,sur,
920,12,surfaces,
921,12,turn,
922,12,une,
923,12,values,
924,12,video,
925,12,vision,
926,12,went,
927,12,windows,
928,12,writing,
